Tipo	Nome	Categorias
Rua	João Moya Hernandes	
Rua	João Orestes	
Rua	João Pio Barbosa	
Rua	João Rosa da Silva	
Rua	João Silverio dos Reis	
Rua	João Vicente	
Praça	João XXIII	
Rua	João dos Santos Barreira	
Rua	Julia Bertiotti	
Rua	Juliano Guiotti	
Rua	Julio Facina	
Rua	Juvenal Pereira Souto	
Rua	Kenroku Ogawa	
Rua	Kie Doi	
Rua	Laurindo Nogueira	
Rua	Lazinha Pedro Batista	
Rua	Leocadia Sanches Montes	
Rua	Leontina Augusto de Souza	
Rua	Leôncio Vilas Boas	
Rua	Lorival Eggert	
Rua	Luis Carlos Fadel	
Rua	Luiz Carlos Vito de Almeida	
Rua	Luiz Delgado	
Rua	Luiz Dias	
Rua	Luiz Magrinelli	
Rua	Luiz Manfio	
Rua	Luiz Sachetti	
Rua	Luiz de Souza Goncalves	
Rua	Manoel Bastos Borges	
Rua	Manoel Casado	
Rua	Manoel Fernandes Barreira	
Rua	Manoel Fernandes da Cruz	
Rua	Manoel Joaquim Marobo	
Rua	Manoel Mailio	
Rua	Manoel Martins Correa	
Rua	Manoel Simões Garrido	
Rua	Marcos Antonio Teroso	
Rua	Marcos Marim	
Rua	Marechal Deodoro	
Rua	Maria Aparecida Guadahin	
Rua	Maria Garrido	
Rua	Maria José Jabur	
Rua	Maria Juliana Serrana	
Rua	Maria Onofre Machado	
Avenida	Maria Pagotti Conte	
Rua	Maria Ramalho	
Rua	Maria do Carmo	
Rua	Mariana Alves Borges	
Rua	Marines Martins Batista	
Rua	Mario Buzzo Barriquelo	
Rua	Mario Pimentel de Castro	
Rua	Massae Hino	
Rua	Maura Aparecida Amaro Romão	
Rua	Maximina Leite	
Rua	Miguel Antonio Madureira	
Rua	Miguel Antonucci	
Rua	Miguel Couto	
Praça	Monsenhor David	
Rua	Monsenhor David	
Rua	Nadir Bastos Borges da Silva	
Rua	Nagib Elias	
Rua	Nossa Senhora Aparecida	
Rua	Nossa Senhora de Fátima	
Avenida	Oliveira Pires	
Rua	Orlando Ricardo Ferreira	
Rua	Orlando de Almeida	
Rua	Osiel Alves Pereira	
Rua	Osvaldo Tofoli	
Rua	Osvaldo da Conceição Garrido	
Rua	Oswaldo Cruz	
Rua	Otávio Pereira	
Rua	Palmira de Arruda Leite	
Rua	Paraíso	
Rua	Paschoal Mussolini	
Rua	Pascoal Adilson Biz	
Rua	Paulino Tondatti	
Rua	Paulo Honorato Soares	
Rua	Paulo Roberto Delantonia	
Rua	Pedro Alves Melo	
Rua	Pedro Alves de Melo	
Rua	Pedro Fontana	
Rua	Pedro Gialluisi	
Rua	Pedro Machado de Lima	
Rua	Pedro Zorzenoni	
Rua	Pedro de Oliveira Prado	
Rua	Pereira do Lazaro	
Rua	Pio XII	
Rua	Pires	
Rua	Pompeu Manfio	
Rua	Primavera	
Rua	Primeiro de Maio	
Rua	Princesa Isabel	
Rua	Raimundo Salvino do Nascimento	
Rua	Raphael Gazoni	
Rua	Rita Maria Felizardo	
Rua	Roberto Henrique da Silva	
Rua	Rodrigues Ferreira de Brito	
Rua	Romeu Bolfarini	
Rua	Romão Eugênio Carreira	
Rua	Roque Delfino de Oliveira	
Rua	Roque Higino Carreira	
Rua	Roseli Milke	
Rua	Rua B	
Rua	Sabino dos Santos Nunes	
Rua	Salvador Farah	
Rua	Santa Izabel	
Rua	Santa Rita	
Rua	Santo Antônio	
Rua	Santo Hino	
Avenida	Santos Dumont	
Rua	Sebastião Correia	
Rua	Sebastião Dias da Mota	
Rua	Sebastião José Flauzino	
Rua	Sebastião José da Rocha	
Rua	Sebastião Leite	
Rua	Sebastião Porto Santana	
Rua	Sebastião Ramos	
Rua	Sebastião Rodrigues da Rocha	
Rua	Sebastião Simões Garrido	
Rua	Senhor do Bonfim	
Rua	Sergio Frazão	
Rua	Sete de Setembro	
Rua	Simão Casado	
Rua	Simão Garrido	
Rua	Sueli Domeni da Silva	
Rua	São Bento	
Rua	São Caetano	
Rua	São Francisco	
Rua	São José	
Rua	São José do Belem	
Rua	São João	
Avenida	São João	
Rua	São Judas Tadeu	
Rua	São Luiz	
Unidade	São Manoel	
Rua	São Paulo	
Rua	São Sebastião	
Rua	Tavares da Silva	
Rua	Terezinha Taiatella	
Rua	Theotonio Ribeiro de Oliveira	
Rua	Thomaz Zonfrilli	
Rua	Tiburcio Arlindo	
Rua	Tobias Paulino Barreiros	
Rua	Tomino Yamamoto	
Rua	Tomé Alves	
Rua	Torquato Ferreira da Silva	
Rua	Urbano Tassito	
Rua	Urias Leite	
Rua	Valdecir Antonio Belini	
Rua	Valter Chizolini	
Rua	Vera Cruz	
Rua	Vera Lucia Roncon	
Rua	Vicente Marroni	
Rua	Vicentina José Capriolli	
Rua	Victoria Sachetti Sapatieri	
Rua	Victorio Caprioli	
Rua	Victorio Porto	
Rua	Victorio Val	
Rua	Visconde de Cairuz	
Rua	Vitorio Cavassini	
Rua	Vitorio Fadel	
Rua	Vitorio Franciscani	
Rua	Waldomiro José Pereira	
Rua	Waldomiro Leite	
Rua	Zacharias Natal Palazin	
Avenida	da Saudade	
Rua	das Azaléias	
Rua	das Orquídeas	
Rua	das Violetas	
Rua	dos Apóstolos	
Rua	dos Ferroviarios	
Rua	dos Mestres	
